smiles,pIC50,mol,num_atoms,logP,molecular_weight,fingerprint
C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,4.903089986991944,<rdkit.Chem.rdchem.Mol object at 0x794efc2cc9e0>,30,5.037700000000004,450.34500000000014,[0 1 0 ... 0 0 0]
Cc1ccc(C2=NN(C3=NC(c4ccccc4)CS3)C(c3cccc4ccccc34)C2)cc1C,5.402304814074488,<rdkit.Chem.rdchem.Mol object at 0x794efc2cca50>,34,7.451840000000007,461.63400000000024,[0 0 0 ... 0 0 0]
COc1ccc(C2=NN(C3=NC(=O)CS3)C(c3cccc4ccccc34)C2)cc1,5.257274868695301,<rdkit.Chem.rdchem.Mol object at 0x794efc2ccac0>,29,4.628900000000003,401.4910000000001,[0 0 0 ... 0 0 0]
Cc1ccc(C2=NN(C3=NC(=O)CS3)C(c3cccc4ccccc34)C2)cc1C,5.87942606879415,<rdkit.Chem.rdchem.Mol object at 0x794efc2ccb30>,29,5.237140000000005,399.5190000000002,[0 0 0 ... 0 0 0]
Cc1ccc(C2=NN(C3=NC(c4ccccc4)CS3)C(c3ccc4ccccc4c3)C2)cc1,5.279014255846261,<rdkit.Chem.rdchem.Mol object at 0x794efc2ccba0>,33,7.143420000000006,447.6070000000002,[0 0 0 ... 0 0 0]
Cc1ccc(C2=NN(C3=NC(c4ccccc4)CS3)C(c3ccc4ccccc4c3)C2)cc1C,6.187086643357144,<rdkit.Chem.rdchem.Mol object at 0x794efc2ccc10>,34,7.451840000000007,461.63400000000024,[0 0 0 ... 0 0 0]
O=C1CSC(N2N=C(c3ccccc3)CC2c2ccc3ccccc3c2)=N1,5.199970640755866,<rdkit.Chem.rdchem.Mol object at 0x794efc2ccc80>,27,4.620300000000004,371.4650000000001,[0 0 0 ... 0 0 0]
COc1ccc(C2=NN(C3=NC(=O)CS3)C(c3ccc4ccccc4c3)C2)cc1,5.552841968657781,<rdkit.Chem.rdchem.Mol object at 0x794efc2cccf0>,29,4.628900000000004,401.4910000000001,[0 0 0 ... 0 0 0]
Cc1ccc(C2=NN(C3=NC(=O)CS3)C(c3ccc4ccccc4c3)C2)cc1,5.488116639021126,<rdkit.Chem.rdchem.Mol object at 0x794efc2ccd60>,28,4.928720000000004,385.49200000000013,[0 0 0 ... 0 0 0]
Cc1ccc(C2=NN(C3=NC(=O)CS3)C(c3ccc4ccccc4c3)C2)cc1C,6.920818753952375,<rdkit.Chem.rdchem.Mol object at 0x794efc2ccdd0>,29,5.237140000000005,399.5190000000002,[0 0 0 ... 0 0 0]
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,7.698970004336019,<rdkit.Chem.rdchem.Mol object at 0x794efc2cce40>,31,4.275600000000003,446.9100000000004,[0 0 0 ... 0 0 0]
COc1ccc(Oc2cc(C)c(-c3csc(NC(=O)c4ccnc(F)c4)n3)c(C)c2)cc1,5.0,<rdkit.Chem.rdchem.Mol object at 0x794efc2cceb0>,32,6.0142400000000045,449.5070000000002,[0 0 0 ... 0 0 0]
COc1ccc(Oc2cc(C)c(-c3csc(NC(=O)c4ccnc(F)c4)n3)c(C)c2)cc1,5.0,<rdkit.Chem.rdchem.Mol object at 0x794efc2ccf20>,32,6.0142400000000045,449.5070000000002,[0 0 0 ... 0 0 0]
COc1cc2c(Oc3ccc(NC(=O)c4nn(-c5ccccc5C(F)(F)F)c(=O)cc4C)cc3F)ccnc2cc1OCCCN1CCOCC1,5.0,<rdkit.Chem.rdchem.Mol object at 0x794efc2ccf90>,51,6.401320000000006,707.6809999999996,[0 0 0 ... 0 0 0]
C=CC(=O)Nc1cccc(Nc2ncc(NC(=O)c3cc(NC(=O)c4cccc(C(F)(F)F)c4)ccc3C)cn2)c1,7.958607314841775,<rdkit.Chem.rdchem.Mol object at 0x794efc2cd000>,41,6.176520000000004,560.5360000000001,[0 0 0 ... 0 0 0]
C=CC(=O)NCC(=O)Nc1cccc(Nc2ncc(NC(=O)c3cc(NC(=O)c4cccc(C(F)(F)F)c4)ccc3C)cn2)c1,8.154901959985743,<rdkit.Chem.rdchem.Mol object at 0x794efc2cd070>,45,5.292720000000003,617.5880000000002,[0 0 0 ... 0 0 0]
CCc1ccccc1NC(=O)N1C[C@@H](C)Oc2cc(-c3ccc([C@H]4CC[C@H](CC(=O)O)CC4)cc3)ccc21,5.1249387366083,<rdkit.Chem.rdchem.Mol object at 0x794efc2cd0e0>,38,7.483900000000006,512.6500000000003,[0 0 0 ... 0 0 0]
Nc1ncnc2scc(-c3ccc4c(C(=O)Nc5ccccc5)cccc4c3)c12,5.0,<rdkit.Chem.rdchem.Mol object at 0x794efc2cd150>,29,5.346000000000003,396.4750000000001,[0 0 0 ... 0 0 0]
Nc1ncnc2scc(-c3ccc4c(C(=O)Nc5ccccc5)cccc4c3)c12,5.0,<rdkit.Chem.rdchem.Mol object at 0x794efc2cd1c0>,29,5.346000000000003,396.4750000000001,[0 0 0 ... 0 0 0]
CC(C)(C)CNC(=O)CC1CNC(=O)c2cc(-c3ccsc3)cn21,5.0,<rdkit.Chem.rdchem.Mol object at 0x794efc2cd230>,24,3.0535000000000014,345.468,[0 0 0 ... 0 0 0]
CN1CCN(C[C@@H](NC(=O)C[C@H]2CNC(=O)c3cc(-c4cccc(Cl)c4)cn32)C2CCCCC2)CC1,5.0,<rdkit.Chem.rdchem.Mol object at 0x794efc2cd2a0>,36,3.795600000000003,512.0980000000003,[0 1 1 ... 0 0 0]
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,8.920818753952375,<rdkit.Chem.rdchem.Mol object at 0x794efc2cd310>,29,3.405100000000002,393.4430000000002,[0 0 0 ... 0 0 0]
Cc1nc(Nc2ccc(C(F)(F)F)cc2)c2cc(C)oc2n1,6.913284336055117,<rdkit.Chem.rdchem.Mol object at 0x794efc2cd380>,22,4.602040000000002,307.27500000000003,[0 0 0 ... 0 0 0]
Cc1nc(Nc2ccc(F)c(Cl)c2)c2cc(C)oc2n1,7.519993057042849,<rdkit.Chem.rdchem.Mol object at 0x794efc2cd3f0>,20,4.375740000000002,291.713,[0 0 0 ... 0 0 0]
C#Cc1cccc(Nc2nc(C)nc3oc(C)cc23)c1,7.522878745280337,<rdkit.Chem.rdchem.Mol object at 0x794efc2cd460>,20,3.564540000000002,263.29999999999995,[0 0 0 ... 0 0 0]
COc1ccc(N(C)c2nc(C)nc3oc(C)cc23)cc1,7.166215625343521,<rdkit.Chem.rdchem.Mol object at 0x794efc2cd4d0>,21,3.6161400000000024,283.331,[0 0 0 ... 0 0 0]
COc1ccc(Nc2nc(C)nc3oc(C)cc23)cc1,7.374687549038326,<rdkit.Chem.rdchem.Mol object at 0x794efc2cd540>,20,3.591840000000002,269.304,[0 0 0 ... 0 0 0]
CCCN(c1ccc(OC)cc1)c1nc(C)nc2oc(C)cc12,7.134896025358872,<rdkit.Chem.rdchem.Mol object at 0x794efc2cd5b0>,23,4.396340000000004,311.38500000000005,[0 0 0 ... 0 0 0]
COc1ccc(N(C)c2nc(C)nc3oc(C)cc23)cc1.Cl,7.08460016478773,<rdkit.Chem.rdchem.Mol object at 0x794efc2cd620>,22,4.037940000000003,319.792,[0 0 0 ... 0 0 0]
Cc1nc(Nc2cccc3[nH]ccc23)c2cc(C)oc2n1,7.044793462458058,<rdkit.Chem.rdchem.Mol object at 0x794efc2cd690>,21,4.064540000000002,278.315,[0 0 1 ... 0 0 0]
